uid,pid_sequence
436,"[790, 790, 2528, 2786, 790, 2786, 790, 3101, 790, 3101, 2786, 2786, 790, 790, 2528, 790, 2528, 790, 790, 3101, 790, 790, 3101, 2786, 790, 790, 1477, 3285, 2528, 790, 790, 3201, 790, 790, 3101, 2528, 3101, 2786, 790, 2786, 790, 3201, 790, 2528, 790, 2786, 790, 4525, 3101, 4525, 1477, 3201, 790, 790, 4525, 2528, 3101, 790, 2383, 2528, 790, 3201, 790, 3101, 2528, 790, 790, 2786, 790, 2786, 790, 2528, 3101, 2528, 2528, 4525, 2528, 2528, 2786, 790, 790, 2528, 790, 2528, 790, 374, 380, 2528, 4525, 2528, 790, 790, 2528, 4525, 790, 4525, 790, 2528, 3201, 4525, 2528, 790, 3101, 2528, 790, 3201, 3101, 2528, 2528, 4525, 790, 4525, 790, 3201, 4525, 4525, 2528, 790, 3201, 790, 2528, 790, 2528, 4525, 4525, 790, 2528, 790, 790, 3201, 790, 2528, 2528, 4525, 790, 2528, 4525, 790, 790, 2528, 4525, 790, 2528, 790, 3101, 2528, 790, 790, 3201, 2528, 790, 2528, 3101, 2528, 790, 3201, 4525]"
437,"[791, 1268, 62, 102, 102, 1268, 1289, 791, 1268, 2964, 3080, 427, 1268, 1872, 1761, 1268, 312, 1659, 2590, 1872, 2590, 1268, 1268, 2590, 557, 1576, 2840, 2834, 1268, 1268, 950, 102, 1268, 1872, 1429, 2926, 366, 845, 4457, 2443, 517, 2964, 4457, 1268, 1927, 4318, 4457, 102, 1976, 102, 1599, 1268, 1429, 4015, 3012, 1096, 417, 1173, 344, 241, 1381, 1096, 3807, 1614, 3524, 1701]"
438,"[795, 795, 2135, 36, 1712, 1680, 1216, 795, 2135, 795, 3116, 795, 36, 795, 36, 70, 795, 36, 36, 70, 2055, 36, 3116, 795, 36, 3858, 795, 36, 2055, 795, 795, 36, 795, 36, 795, 2135, 795, 36, 795, 36, 795, 70, 1216, 795, 3116, 1847, 2135, 36, 70, 795, 2227, 36, 2135, 551, 3116, 795, 36, 795, 36, 2055, 2135, 70, 795, 36, 385, 36, 70, 795, 795, 3116, 795, 36, 70, 36, 795, 36, 795, 36, 3116, 1216, 3858, 795, 36, 1213, 795, 36, 795, 36, 2227, 795, 36, 2971, 795, 2135, 795, 36, 795, 36, 3116, 795, 36, 795, 2135, 3146, 795, 36, 576, 36, 3815, 1202, 1680, 1488, 1662, 36, 1578, 795, 36]"
439,"[796, 102, 1127, 1130, 1165, 102, 898, 796, 102, 2801, 102, 1127, 796, 102, 102, 1127, 102, 796, 1127, 1130, 1127, 796, 102, 102, 796, 102, 3705, 796, 102, 1127, 3212, 102, 102, 796, 102, 796, 102, 1127, 796, 102, 796, 102, 1127, 102, 102, 1127, 796, 102, 1127, 1130, 1127, 102, 102, 796, 102, 102, 796, 102, 1127, 102, 796, 102, 1127, 102, 796, 102, 1127, 102, 796, 102, 1130, 1127, 796, 102, 1127, 102, 796, 102, 796, 102, 102, 796, 102, 1130, 434, 796, 102, 796, 102, 1127, 102, 102, 1127, 1127, 796, 102, 1127, 102, 796, 102, 3658, 1127, 1445, 102, 1127, 1127, 102]"
440,"[800, 1624, 1864, 800, 2672, 800, 1624, 800, 2321, 2547, 800, 3379, 800, 2804, 1799, 800, 1901, 800, 2672, 169, 2722, 800, 800, 2672, 464, 3100, 1624, 1670, 800, 2804, 1799, 800, 800, 1624, 800, 2672, 2804, 2932, 473, 800, 2672, 1624, 3601, 473, 1713, 4436, 3901, 800, 2672, 800, 800, 2672, 800, 2804, 2203, 800, 2672, 800, 800, 1624, 3224, 129, 3901, 4589, 2653, 169, 2541, 800, 129, 800, 800, 3901, 800, 2672, 800, 2672, 800, 800, 2672, 800, 2672, 800, 800, 1624, 800, 473, 800, 800, 169, 3224, 4801, 800, 439, 3439, 1624, 800, 1624, 1624, 1814, 1551, 800, 2672, 2968, 2672, 800, 800, 1035, 800, 169, 3274, 800, 4082, 800]"
441,"[808, 250, 1328, 808, 808, 2407, 808, 1328, 808, 808, 1328, 808, 808, 1559, 808, 1328, 2407, 808, 808, 2407, 1328, 808, 3690, 2941, 808, 1328, 1456, 808, 3882, 808, 808, 1328, 2407, 2407, 808, 808, 1328, 808, 1328, 808, 808, 1328, 808, 808, 1328, 808, 808, 1328, 808, 4192, 808, 808, 3215, 808, 3215, 808, 2407, 808, 3215, 808, 808, 1328, 808, 808, 2941, 808, 808, 1328, 808, 808, 3215, 808, 3276, 808, 2407, 808, 808, 2407, 808, 808, 1328, 808, 808, 2407, 808, 808]"
442,"[813, 1632, 1711, 76, 1659, 813, 1711, 3265, 3266, 813, 1444, 2476, 813, 349, 813, 1168, 3266, 1711, 3531, 813, 1152, 3531, 813, 1445, 11, 151, 3035, 357, 813, 813, 1178, 1179, 4154, 1614, 813, 813, 1192, 813, 813, 1214, 1711, 3531, 3266, 813, 813, 3266, 256, 813, 813, 3531, 813, 813, 2676, 2968, 3531, 406, 2626, 3084, 1659, 256, 1659, 151, 406, 406]"
443,"[814, 816, 1138, 1578, 598, 1997, 814, 816, 816, 2353, 816, 1087, 814, 1138, 816, 814, 1138, 2353, 76, 3350, 814, 3532, 410, 321, 814, 816, 1138, 3871, 1138, 814, 3532, 816, 814, 814, 1087, 814, 814, 2612, 1087, 2283, 3532, 443, 2353, 3532, 814, 4238, 1138, 2467, 324, 2353, 814, 816, 3532, 814, 2353, 814, 3000, 814, 816, 1138, 2353, 2353, 814, 3532, 504, 3546, 814, 816, 2353, 2637, 814, 814, 310, 3562, 816, 814, 814, 816, 814, 814, 816, 1018, 498, 2353, 1138, 3532, 814, 2353, 814, 1138, 1578, 3532, 333, 1138, 4350, 3532, 151, 1528, 23, 321, 2353, 2876, 1138, 1201, 1307, 3437, 1201, 1543, 3532, 3443, 2933, 4893, 3532, 4893, 4314, 3972, 442, 194]"
444,"[818, 1147, 1651, 1773, 377, 1651, 1651, 818, 3029, 1651, 818, 818, 1651, 1651, 818, 818, 1773, 818, 1651, 1651, 818, 818, 1651, 1651, 818, 1651, 1651, 818, 818, 1651, 818, 1651, 818, 818, 4766, 4766, 1918, 4766, 4766, 3000, 4766, 4766, 1651, 4766, 61, 1651, 4766, 4766, 2326, 4766, 4766, 2834, 4766, 4893, 1651, 4766, 3670, 1651, 83, 151, 3730, 1651, 4766, 4766]"
445,"[820, 249, 1390, 1390, 1540, 1475, 2120, 820, 2120, 2429, 820, 2120, 820, 2120, 820, 2933, 820, 2120, 1197, 820, 3379, 820, 2120, 820, 2429, 820, 2120, 102, 820, 2120, 820, 2120, 820, 1390, 820, 820, 2429, 2120, 2120, 820, 2429, 3960, 2429, 2120, 820, 199, 2892, 1541, 820, 820, 2120, 2429, 820, 2120, 820, 2120, 2120, 820, 3857, 634, 2120, 2120, 820, 2429, 2801, 2120, 820, 2120, 2120, 820, 2429, 634, 1540, 188, 2120, 2120, 820, 2120, 820, 2429, 2120, 820, 102, 2120, 3960, 820, 820, 2429, 2209, 2120, 2120, 820, 820, 2429, 820, 2429, 820, 1435, 3271, 820, 820, 2429, 2437, 820, 4349, 3206, 3960, 2429, 1015, 999, 820, 2429, 820, 2695, 2429, 2437, 2801, 820, 2429, 2120, 820, 4349, 2429, 1390, 820, 820, 4155, 820, 1445, 1541, 4398, 5053, 1015, 31]"
446,"[823, 1004, 823, 1004, 1004, 1922, 823, 1004, 1754, 1004, 823, 1004, 1004, 706, 823, 1004, 823, 1004, 3656, 1004, 823, 1726, 1004, 1239, 1004, 706, 2213, 1004, 823, 1004, 823, 1004, 1754, 823, 2659, 823, 1004, 823, 1004, 102, 1004, 823, 1004, 823, 1004, 1004, 706, 2744, 823, 1004, 823, 823, 1004, 1004, 823, 1004, 2873, 823, 761, 102, 3283, 823, 1004, 706, 1004, 823, 1004, 823, 1004, 1004, 823, 1004, 1004, 823, 706, 706, 2452, 102, 1004, 3539, 1004, 3531]"
447,"[825, 667, 2769, 825, 435, 825, 825, 3702, 82, 2623, 2769, 825, 2769, 825, 3702, 825, 2769, 2769, 61, 61, 2623, 337, 825, 825, 2769, 1573, 3702, 825, 256, 2769, 825, 2769, 1832, 2769, 825, 825, 667, 3702, 2769, 825, 2769, 825, 825, 3702, 4805, 2769, 2769, 825, 825, 1603, 4667, 2769, 825, 2769, 825, 825, 2769, 1603, 825, 1603, 4971, 825, 825, 2769, 825, 3702, 667, 825, 3702, 3702, 4299, 1603, 1603, 667]"
448,"[61, 873, 2973, 873, 2973, 1559, 61, 873, 1030, 873, 1030, 873, 1030, 873, 873, 4276, 406, 873, 4160, 873, 4138, 4160, 873, 873, 4443, 61, 61, 873, 873, 104, 1937, 2973, 61, 61, 873, 873, 4527, 4138, 873, 2973, 873, 1930, 4160, 2973, 2990, 1504, 406, 873, 2746, 3670]"
449,"[738, 738, 1212, 2513, 738, 320, 3104, 1212, 738, 738, 1018, 1212, 2884, 2729, 3132, 1212, 738, 4379, 2521, 2232, 400, 3270, 3122, 3130, 4457, 370, 884, 1212, 1464, 738, 3769, 4379, 1659, 2653, 1820, 3132, 2762, 2815, 1212, 3790, 1688, 3790, 738, 3348, 2387, 292, 3080, 2985, 4264, 3348, 4379, 1959, 4379, 1659, 2334]"
450,"[840, 1014, 439, 840, 1637, 840, 840, 3502, 1014, 840, 1014, 840, 840, 321, 840, 442, 684, 3061, 226, 840, 226, 2326, 840, 840, 3502, 1526, 840, 840, 1014, 329, 840, 840, 329, 840, 321, 3502, 840, 4409, 325, 840, 840, 439, 840, 329, 840, 226, 840, 840, 439, 2917, 840, 536, 840, 840]"
451,"[841, 1057, 1313, 2684, 2648, 226, 3391, 1057, 841, 416, 179, 1057, 2684, 2684, 3726, 3391, 1057, 3391, 841, 2684, 2684, 3963, 3726, 4149, 4057, 3963, 3726, 2526, 2174, 3061, 2526, 3391, 1057, 841, 2684, 841, 1057, 3391, 1057, 841, 3963, 3726, 3935, 971, 2526, 841, 416, 3391, 1057, 841, 993, 3476, 3726, 3935, 3935, 2174, 3391, 1057, 3726, 3476, 3726, 3516, 1057, 3391, 1057, 841, 3391, 1057, 841, 3440, 3391, 841, 4710, 3391, 1057, 3963, 3726, 3391, 3726, 841, 3935, 3391, 4088, 3935, 1057, 841, 3440, 2512, 841]"
452,"[842, 842, 2510, 2521, 842, 842, 3358, 3396, 3396, 3319, 3534, 3358, 3817, 842, 3396, 3396, 3319, 247, 842, 3817, 3358, 4140, 1173, 842, 3817, 842, 3396, 3396, 842, 3817, 1075, 1927, 1289, 3986, 3986, 3817, 4140, 842, 3358, 1638, 3358, 78, 3817, 842, 842, 3817, 406, 3358, 3396, 3358, 3358, 3197, 3358, 842, 3358, 3377, 842, 3396, 1967, 842, 3817, 3358, 1173, 842, 1147, 3358, 357, 842, 2114, 3817]"
453,"[846, 1679, 2045, 846, 1679, 1679, 3156, 1679, 3585, 1679, 3156, 831, 1679, 3156, 2077, 2859, 1679, 3156, 3231, 1679, 3156, 3156, 1679, 3156, 2045, 3156, 3231, 2171, 3156, 3156, 846, 4365, 846, 1679, 1025, 3156, 3156, 2829, 3156, 846, 1679, 3156, 846, 846, 1679, 3156, 3372]"
454,"[149, 149, 267, 267, 149, 1571, 267, 149, 969, 149, 1571, 149, 969, 3114, 2238, 1873, 2238, 267, 149, 149, 1571, 149, 149, 2940, 20, 149, 1571, 149, 267, 3834, 2238, 227, 3194, 267, 149, 1571, 1415, 149, 227, 149, 349, 267, 149, 3424, 3066, 267, 267, 149, 1571, 1362, 149, 200, 1918, 267, 1904, 1576, 227, 1571, 149, 267, 149, 267, 149, 321, 149, 149, 1035, 20, 2238, 1415, 267, 149, 1134, 2038, 321, 2238, 3834, 321, 3074, 321, 267, 149, 267, 149, 1571, 4401, 3834, 321, 149, 227, 267, 321, 1571, 149, 3729, 1018, 267, 969, 2706, 321, 267, 149, 1571, 149, 149, 227, 149, 321, 267, 149, 1571, 3424, 149, 969, 267, 267, 149, 267, 149, 149, 267, 149, 969, 3424, 2238, 1903, 321, 267, 4700, 321, 267, 149, 352, 267, 149, 267, 149, 267, 1638, 267, 149, 1638, 267, 149, 149, 3751, 3519, 149, 1571]"
455,"[851, 1747, 851, 247, 851, 851, 1700, 36, 1631, 851, 2171, 851, 851, 1168, 991, 851, 851, 3698, 851, 851, 4120, 1740, 3058, 406, 851, 851, 2492, 3282, 851, 84, 1464, 851, 851, 61, 991, 851, 3517, 4587, 406, 4587, 991, 851, 4587, 851, 4587, 851, 851, 1707, 4587, 851, 4089, 4587, 851, 175, 4587, 36, 851, 2894, 3246, 406, 406, 4587, 851, 851, 406, 406, 4587, 851, 851, 4587, 134, 851, 4587, 4587, 851, 851, 3401, 851, 3517, 406, 2171, 4587, 851, 120, 851, 3401, 991, 851, 61, 4587, 3876, 3876, 991, 851, 851]"
456,"[852, 852, 2845, 852, 852, 1647, 852, 3300, 852, 852, 3754, 852, 3209, 852, 852, 295, 503, 852, 852, 647, 852, 2443, 852, 4288, 852, 295, 852, 2585, 852, 852, 3830, 61, 3699, 406, 852, 852, 2723, 3113, 406, 690, 1381, 1232, 3754, 852]"
457,"[798, 1147, 1486, 342, 1157, 798, 342, 798, 1133, 2324, 1464, 342, 1987, 3367, 798, 798, 342, 406, 61, 798, 798, 1987, 342, 1987, 798, 342, 3808, 798, 2513, 798, 1987, 342, 1987, 1918, 2347, 342, 798, 342, 798, 1475, 798, 342, 1157, 798, 342, 3986, 798, 342, 342, 798, 798, 2489, 1987, 798, 3240, 950, 798, 950, 798, 342, 798, 342, 2321, 1123, 1987, 798, 1987, 1173, 798, 342, 2703, 3986, 798, 798, 1632, 798, 342, 2968, 2217, 342, 798, 3862, 798, 798, 342, 1466, 342, 798, 342]"
458,"[854, 875, 1317, 897, 1864, 875, 875, 2481, 2700, 875, 2897, 875, 875, 854, 875, 339, 3535, 875, 2442, 875, 459, 3248, 3772, 324, 459, 875, 875, 3248, 875, 875, 4085, 61, 1631, 36, 875, 2917, 3274, 3419, 875, 3248, 3104, 1460, 875, 4404, 1219, 4494, 875, 2732, 875, 3511, 3511, 2577, 2932, 1998, 1391, 2440, 875, 875, 1170, 3511, 1511, 875, 61, 61, 875, 875, 3174, 875, 2481, 4950, 875, 875, 116, 1754, 2388, 875, 3367, 875, 2657, 3248, 875, 875, 889, 1157, 3511, 793, 4893, 2788, 4893, 2512, 875, 5048, 854, 875, 2480, 2657, 875, 3694, 2657, 378, 61]"
459,"[738, 849, 849, 1381, 3223, 102, 849, 849, 1797, 849, 849, 1018, 849, 849, 3041, 849, 4055, 1018, 2913, 849, 849, 1170, 849, 849, 61, 3519, 849, 849, 1389, 849, 2997, 61, 1271, 849, 3538, 849, 1389, 849, 849, 2183, 2572, 2844, 3776, 1638, 3568, 1746, 1389, 1389, 849, 849, 2430, 1389, 849, 849, 2926, 849, 849, 3084, 3041, 78, 849, 2899, 849, 849, 2698, 3284, 849, 849, 322, 849, 1577]"
460,"[858, 858, 2581, 2581, 858, 2581, 858, 2581, 858, 2581, 1308, 858, 2581, 858, 1513, 858, 858, 3941, 831, 858, 858, 2581, 858, 3941, 2581, 858, 858, 3938, 2581, 858, 2581, 858, 3941, 858, 2581, 858, 2581, 858, 858, 3941, 858, 858, 3941, 858, 858, 3941, 858, 858, 3941, 858, 858, 1237, 2581, 858, 858, 3941, 2581, 858, 858, 2581, 858, 858, 3941, 858, 3941, 858, 858, 3941, 858, 858, 3941, 858, 858, 3941, 858, 3941, 858, 858, 3941, 858, 858, 3941, 858, 3941, 4574, 2795, 858, 3941, 2581, 858, 3941, 858, 858, 3941, 858, 2581, 858, 858, 2581, 858, 2581, 3945, 2581, 2581, 3945]"
461,"[142, 879, 1544, 879, 879, 3121, 61, 1974, 2516, 1544, 879, 879, 1544, 175, 3446, 3446, 879, 1544, 2041, 879, 3446, 879, 879, 1075, 1544, 3446, 879, 1464, 879, 879, 3446, 1010, 3133, 879, 879, 3974, 879, 879, 1012, 4028, 20, 3200, 3262, 3063]"
462,"[865, 2065, 865, 2391, 2391, 1319, 2447, 1292, 1319, 61, 865, 2391, 865, 2447, 3043, 2391, 865, 2617, 865, 3794, 1319, 2391, 865, 865, 2391, 2595, 1319, 61, 4260, 2354, 2391, 865, 2391, 865, 2391, 865, 865, 11, 4260, 2391, 865, 2009, 2391, 865, 1319, 865, 2009, 865, 865, 1872, 2391, 1387, 865, 1319, 845, 2009, 1981, 3322, 865, 2009, 2391, 865, 2669, 2391, 865, 865, 2122, 865, 1319, 865, 4260, 865, 3678, 1705, 1319, 865, 4260, 865, 865, 3642, 4886, 1010, 4886, 865, 3322, 4893, 865, 4886, 865, 4886, 4886, 865, 3099, 865, 4886, 4886, 3099, 4886, 2009, 4886, 4886, 5079, 2299, 3099]"
463,"[866, 1369, 1438, 1369, 63, 866, 1369, 1438, 866, 1369, 1010, 866, 1369, 3010, 1369, 866, 1438, 171, 1369, 866, 1369, 63, 1369, 866, 3811, 3010, 3882, 171, 866, 1369, 1113, 1113, 866, 1369, 866, 1113, 3811, 1369, 866, 1559, 3010, 866, 1369, 866, 1369, 1369, 866, 3049, 1693, 1369, 866, 3049, 3049, 1369, 3049, 1369, 3049, 3049, 1369, 3049, 3049, 1369, 3049, 3049, 3255]"
464,"[69, 69, 1339, 177, 1339, 177, 69, 1339, 69, 3181, 1871, 1339, 1339, 69, 2953, 1339, 69, 1339, 69, 102, 2876, 1339, 1339, 2953, 69, 3145, 1339, 69, 1871, 69, 1339, 69, 1339, 69, 1339, 1871, 69, 1339, 3218, 69, 1339, 2953, 69, 1339, 69, 1339, 69, 1330, 69, 2819, 1339, 69, 311, 2876, 69, 1871, 1339, 1871, 1339, 69, 1632, 1213, 3120, 69, 1339, 2953, 69, 1339, 69, 2953, 1173, 3264, 1809, 69, 1339, 2953, 69, 1339, 1871, 69, 1871, 3190, 1573, 69, 1339, 2044, 1339, 69, 1339, 3601, 3667, 4085, 3181, 1339, 69, 2044, 2819, 4085, 4085, 324, 69, 4375, 1339, 69, 1809, 1034, 1339, 2839, 69, 1339, 1034, 1339, 69, 69, 1339, 69, 1339, 249, 429, 1339, 1391, 69, 1034, 1339, 2044, 5041, 69, 69, 1339, 69, 1339, 2722, 1339, 69, 3264, 69, 1871, 69, 1339, 2700, 102]"
465,"[874, 1108, 1108, 1751, 874, 2591, 1108, 1108, 1659, 1108, 1108, 2591, 1751, 1108, 874, 874, 1108, 1108, 1751, 151, 76, 1108, 1108, 874, 1108, 1751, 197, 874, 2591, 874, 1108, 1108, 874, 2591, 1108, 1751, 1112, 1108, 874, 1108, 874, 1108, 1108, 1751, 874, 874, 1108, 1108, 1751, 2591, 1108, 874, 874, 1751, 874, 1734, 2591, 2591, 1108, 1108, 2591, 1075, 2939, 3672, 2591, 1108, 1108, 2591, 1108, 2591, 18, 2591, 2591, 1108, 2591, 1108, 1108, 2591, 2591, 1108, 1659, 1108, 1751, 4893, 2591, 1108, 1108, 2591, 1108, 2591, 2591]"
466,"[876, 876, 983, 2681, 991, 3038, 876, 2196, 2196, 876, 2577, 739, 876, 983, 2681, 991, 2196, 876, 983, 876, 238, 2681, 876, 983, 876, 983, 2681, 2153, 876, 2196, 876, 983, 4134, 983, 2196, 2681, 991, 876, 2196, 2681, 876, 983, 876, 876, 1018, 876, 83, 876, 983, 1202, 876, 3189, 876, 983, 876, 1202, 876, 4028, 983, 876, 2681, 983, 983]"
467,"[878, 1345, 878, 1375, 2034, 878, 1375, 2379, 1375, 2379, 2379, 321, 321, 1375, 878, 1375, 2379, 2293, 1345, 2379, 1375, 36, 2379, 3628, 2293, 2379, 2293, 1489, 1375, 1375, 1489, 2379, 1375, 2379, 179, 1345, 1375, 1375, 1489, 1375, 1375, 2034, 1345, 2379, 2293, 2293, 2379, 475, 1375, 1375, 1345, 3451, 1375, 1345, 2379, 2458, 1375, 2379, 3585, 1489, 2034, 2379, 1345, 2379, 1375, 2379, 2293, 2379, 1375, 2034, 1375, 2379, 2642, 2379, 2379, 878, 2379, 179, 878, 1375, 1489, 179, 452, 2034, 2379, 1489, 2034, 475, 2034, 1375, 2379, 2034, 2293, 1375, 475, 878, 1375, 2034, 2034, 3256, 2379, 2034, 2379, 2379, 227, 321, 2034, 2379, 2034, 1375, 2379, 2293, 350, 1489, 1375, 2379, 416, 2034, 1375, 2034, 878, 1375, 2034, 1375, 2379, 878, 1375, 3628, 1375, 1375, 2379, 2293, 1375, 2379, 2034, 2379, 350, 2034, 2379, 2034, 1375, 1375, 321, 1375]"
468,"[883, 1918, 1872, 2501, 682, 2806, 2890, 2270, 3306, 2270, 1872, 3451, 2270, 2105, 3136, 3136, 883, 427, 883, 2270, 3082, 1025, 3306, 3136, 2105, 883, 2972, 2861, 3136, 2105, 2105, 357, 1688, 2539, 3289, 4634, 1544, 1544, 3136, 2270, 2270, 61, 1025, 2105, 2927, 3306, 887, 1739, 2041, 2105, 3136, 2270, 1872, 612, 3306, 3136, 3136, 2105, 3306, 3136, 1872, 4193, 4258, 0, 4258, 1873, 612, 4258, 4258, 3020, 1544, 1937, 2437, 3136, 3136, 4258, 324]"
469,"[886, 1565, 1565, 2325, 886, 2931, 2325, 2325, 886, 2325, 1027, 2325, 886, 2325, 1027, 1173, 2325, 1027, 273, 886, 3081, 2325, 2325, 886, 4622, 2325, 4625, 2325, 3787, 4625, 1545, 2357, 273, 3690, 2325, 2325, 406, 2325, 2931, 2325, 2417, 4625, 2325, 2325, 3081, 2325, 1272, 1389, 2341, 2341, 2325, 2325, 886, 2325, 2807, 1]"
470,"[888, 1373, 2190, 888, 1598, 3429, 3450, 3450, 3733, 3914, 3450, 3967, 3450, 510, 3450, 1591, 3429, 3450, 1925, 4013, 3450, 3450, 3609, 3450, 1373, 3450, 1373, 328, 1373, 1217]"
471,"[57, 896, 1327, 896, 226, 1614, 2039, 1327, 896, 896, 1327, 896, 2458, 1327, 896, 26, 1327, 896, 2858, 896, 18, 442, 1327, 896, 896, 2039, 1327, 896, 1327, 896, 1327, 896, 896, 1560, 1327, 1397, 1327, 1327, 474, 896, 4168, 896, 1397, 1327, 1327, 896, 226, 1327, 896, 1327, 896, 2458, 1327, 896, 2890, 1327, 896, 139, 1075, 1952, 1966, 1327, 1203, 896, 896, 1327, 896, 896, 1327, 896, 896, 1327, 896, 249, 558, 391, 1327, 896, 1203, 896, 2628, 896, 2890, 2890, 3673, 1327, 896, 896, 1327, 1362, 1327, 139, 139, 3870, 1327, 1327, 896, 2564, 458, 1327, 4700, 1397, 1872, 896, 2820, 2820, 3986, 61, 1744, 139, 896, 1327, 896, 82, 1950]"
472,"[893, 922, 943, 946, 893, 893, 922, 597, 946, 2112, 943, 2134, 2134, 893, 893, 922, 597, 2112, 943, 946, 2803, 893, 893, 922, 597, 597, 943, 2112, 2803, 2134, 893, 893, 922, 2803, 2803, 893, 893, 2134, 893, 922, 597, 943, 2112, 946, 2134, 2803, 2134, 922, 597, 2112, 946, 943, 2134, 2803, 2134, 893, 2134, 2803, 893, 893, 943, 2112, 946, 2134, 893, 2134, 893, 2134, 893, 893, 2134, 2134, 893, 893, 2803, 893, 2134, 2803, 893, 922, 597, 2112, 943, 946, 893, 893, 2803, 893, 2112, 946, 2134, 2134, 893, 893, 2134, 2803, 893, 893, 2803, 2134, 893, 597, 943, 946, 2112, 2134, 2803, 2134, 2803, 2134, 2961, 2134, 893, 893, 2803, 2134, 893, 597, 2112, 2134, 893, 2112, 946, 2134, 2803, 893, 597, 597, 3334, 4037, 4037]"
473,"[897, 2021, 2439, 2857, 3651, 330, 3657, 3879, 3657, 1313, 3651, 3651, 2439, 3651, 2004, 2004, 1170, 2751, 3651, 330, 2857, 2857, 3651, 3651, 4633, 3651, 3651, 2931, 2857, 3651, 3651, 4633, 4633, 3651, 3651]"
474,"[898, 898, 1600, 898, 898, 3239, 763, 2489, 898, 3641, 898, 3141, 322, 3641, 3641, 4163, 406, 898, 245, 3772, 898, 3641, 898, 1173, 3686, 3641, 3939, 2606, 3641, 2489, 898, 898, 1716, 898, 898, 1487, 898, 898, 1507, 4598, 4542, 2541, 392, 1507, 3686, 3141, 1507, 1951, 2028, 61, 1507, 1507, 4123, 176, 4314, 176, 1600]"
475,"[899, 1077, 1346, 20, 3141, 3000, 2806, 1880, 3717, 1202, 1202, 250, 250, 845, 986, 4278, 1202, 250, 175, 1075, 3141, 1659, 3291, 3591, 250, 1880, 1504, 3305, 3305, 1346, 3305, 250, 2968, 250, 250, 406, 406, 3329, 2105, 250, 1611, 899, 983, 2577]"
476,"[901, 1197, 901, 2544, 2884, 2544, 901, 1576, 3257, 360, 2884, 2544, 1707, 2544, 3660, 2544, 2884, 2884, 328, 3660, 901, 328, 3660, 2867, 2884, 3082, 3185, 1851, 82, 1873, 2544, 2626, 1638, 2544, 3520, 3185, 4402, 3524, 2544, 901, 1859, 2525, 2884, 1859, 2897, 2884, 3185, 1638, 3185, 1638, 3185, 2544, 2544, 1576, 3098, 2884, 2544, 3271, 3078, 2544, 2884, 3098, 2884, 3534, 901, 2294, 2544, 2884, 2544, 3098, 2884, 2544, 1638, 3477, 2544, 2884, 2544]"
477,"[903, 1032, 2191, 903, 1032, 903, 2829, 2829, 43, 43, 1032, 1947, 2000, 43, 43, 1032, 2953, 2168, 1032, 2308, 43, 903, 469, 903, 1032, 2308, 2168, 903, 903, 2191, 2602, 1556, 2308, 469, 2308, 903, 3348, 1032, 2308]"
478,"[905, 82, 2341, 324, 1902, 2384, 2384, 2585, 2384, 1555, 2996, 490, 3088, 337, 1381, 2384, 2196, 26, 2384, 490, 2384, 490, 151, 1533, 2833, 2384, 1902, 905, 2384, 2384, 905, 151, 3094, 102, 443, 249, 277, 406, 82, 905, 2384, 2996, 2384, 3361, 2384, 905, 1925, 2491, 337, 3715, 490, 1902, 490, 2384, 2302, 1902, 406, 1902, 2613, 905, 2384, 2384, 1902, 3216, 2384, 2384, 905, 1646, 2477, 1670, 905]"
479,"[854, 854, 1585, 854, 2986, 1018, 2241, 3402, 1389, 854, 2986, 854, 2214, 854, 3402, 54, 1585, 2986, 854, 3086, 693, 854, 1237, 854, 3401, 3402, 1237, 3402, 324, 1389, 854, 2214, 3401, 854, 1585, 1237, 854, 3402, 2986, 1237, 854, 854, 3401, 854, 2986, 1237, 2986, 3401, 3550, 2986, 854, 28, 3402, 2986, 854, 2986, 2986, 1237, 854, 2986, 854, 854, 4771, 854, 3402, 3086, 854, 2986, 28, 2176, 2986, 4771, 3401, 2214, 2986, 854, 2986, 4771, 854, 854, 1018, 854, 2214, 4141, 257, 3199, 3199, 2986, 854, 2986, 854, 854, 2986, 854, 4771, 854, 2196]"
