pid,semitic_codes
0,"[1, 2, 45]"
1,"[8, 9, 51]"
2,"[45, 13, 50]"
3,"[62, 20, 51]"
4,"[60, 60, 2]"
5,"[42, 42, 40]"
6,"[62, 7, 42]"
7,"[53, 13, 26]"
8,"[21, 7, 21]"
9,"[62, 63, 57]"
10,"[60, 56, 26]"
11,"[62, 63, 50]"
12,"[3, 63, 58]"
13,"[49, 23, 6]"
14,"[8, 39, 12]"
15,"[20, 31, 2]"
16,"[26, 60, 23]"
17,"[7, 35, 63]"
18,"[1, 58, 16]"
19,"[1, 12, 19]"
20,"[52, 15, 54]"
21,"[60, 11, 49]"
22,"[51, 53, 58]"
23,"[46, 6, 52]"
24,"[52, 15, 54]"
25,"[52, 47, 31]"
26,"[46, 6, 52]"
27,"[51, 25, 1]"
28,"[26, 62, 11]"
29,"[38, 48, 62]"
30,"[51, 29, 9]"
31,"[2, 48, 5]"
32,"[15, 29, 38]"
33,"[15, 43, 30]"
34,"[19, 21, 44]"
35,"[60, 39, 59]"
36,"[2, 53, 48]"
37,"[7, 8, 63]"
38,"[13, 54, 24]"
39,"[19, 44, 49]"
40,"[51, 60, 2]"
41,"[42, 50, 61]"
42,"[40, 59, 10]"
43,"[62, 5, 14]"
44,"[62, 46, 37]"
45,"[62, 32, 21]"
46,"[4, 23, 18]"
47,"[33, 21, 50]"
48,"[62, 14, 36]"
49,"[62, 37, 8]"
50,"[26, 60, 23]"
51,"[62, 51, 44]"
52,"[27, 36, 22]"
53,"[62, 57, 57]"
54,"[2, 30, 46]"
55,"[21, 33, 37]"
56,"[25, 27, 25]"
57,"[62, 8, 43]"
58,"[62, 59, 11]"
59,"[21, 10, 39]"
60,"[14, 26, 29]"
61,"[17, 17, 28]"
62,"[62, 5, 21]"
63,"[14, 26, 55]"
64,"[14, 4, 29]"
65,"[23, 27, 30]"
66,"[33, 37, 5]"
67,"[62, 12, 25]"
68,"[60, 33, 55]"
69,"[62, 40, 45]"
70,"[1, 42, 33]"
71,"[51, 40, 42]"
72,"[1, 12, 7]"
73,"[15, 43, 16]"
74,"[21, 10, 39]"
75,"[62, 56, 19]"
76,"[41, 20, 51]"
77,"[41, 4, 41]"
78,"[0, 2, 53]"
79,"[1, 45, 34]"
80,"[62, 63, 42]"
81,"[62, 34, 37]"
82,"[17, 17, 28]"
83,"[48, 24, 27]"
84,"[49, 28, 38]"
85,"[58, 55, 4]"
86,"[62, 34, 31]"
87,"[51, 52, 25]"
88,"[7, 19, 56]"
89,"[51, 50, 12]"
90,"[1, 52, 13]"
91,"[21, 10, 4]"
92,"[36, 11, 9]"
93,"[21, 16, 35]"
94,"[62, 49, 0]"
95,"[51, 25, 1]"
96,"[7, 30, 58]"
97,"[52, 45, 48]"
98,"[42, 19, 32]"
99,"[62, 0, 7]"
100,"[62, 36, 15]"
101,"[8, 55, 24]"
102,"[27, 61, 56]"
103,"[9, 9, 61]"
104,"[53, 38, 20]"
105,"[52, 28, 11]"
106,"[57, 3, 47]"
107,"[52, 28, 36]"
108,"[63, 61, 59]"
109,"[62, 18, 41]"
110,"[52, 47, 32]"
111,"[48, 11, 27]"
112,"[53, 41, 8]"
113,"[32, 1, 3]"
114,"[57, 3, 47]"
115,"[23, 41, 6]"
116,"[7, 30, 46]"
117,"[52, 46, 18]"
118,"[19, 24, 35]"
119,"[62, 32, 15]"
120,"[1, 16, 33]"
121,"[42, 22, 3]"
122,"[62, 14, 34]"
123,"[52, 22, 13]"
124,"[52, 54, 17]"
125,"[52, 26, 10]"
126,"[52, 62, 17]"
127,"[62, 44, 60]"
128,"[5, 26, 49]"
129,"[39, 28, 26]"
130,"[9, 24, 0]"
131,"[62, 63, 22]"
132,"[57, 38, 35]"
133,"[52, 32, 61]"
134,"[28, 27, 30]"
135,"[62, 56, 33]"
136,"[8, 4, 55]"
137,"[45, 35, 26]"
138,"[13, 11, 2]"
139,"[49, 54, 59]"
140,"[46, 14, 52]"
141,"[25, 53, 25]"
142,"[52, 8, 43]"
143,"[52, 12, 17]"
144,"[25, 19, 0]"
145,"[21, 10, 4]"
146,"[62, 62, 32]"
147,"[14, 29, 51]"
148,"[39, 23, 38]"
149,"[58, 6, 3]"
150,"[42, 30, 10]"
151,"[23, 29, 2]"
152,"[62, 57, 28]"
153,"[21, 48, 33]"
154,"[13, 17, 29]"
155,"[8, 35, 20]"
156,"[62, 40, 61]"
157,"[23, 41, 30]"
158,"[62, 57, 34]"
159,"[59, 56, 1]"
160,"[15, 44, 58]"
161,"[15, 61, 48]"
162,"[62, 0, 14]"
163,"[40, 8, 43]"
164,"[52, 45, 5]"
165,"[51, 53, 5]"
166,"[1, 46, 13]"
167,"[62, 52, 41]"
168,"[23, 25, 28]"
169,"[39, 28, 12]"
170,"[52, 31, 36]"
171,"[8, 35, 9]"
172,"[62, 42, 23]"
173,"[1, 60, 17]"
174,"[1, 19, 53]"
175,"[49, 28, 38]"
176,"[14, 3, 55]"
177,"[62, 59, 32]"
178,"[4, 61, 24]"
179,"[52, 9, 13]"
180,"[60, 21, 4]"
181,"[46, 54, 52]"
182,"[42, 30, 31]"
183,"[62, 57, 19]"
184,"[52, 32, 61]"
185,"[52, 22, 63]"
186,"[62, 47, 57]"
187,"[62, 36, 14]"
188,"[5, 39, 48]"
189,"[52, 50, 45]"
190,"[62, 43, 21]"
191,"[62, 1, 37]"
192,"[7, 37, 3]"
193,"[52, 50, 45]"
194,"[5, 39, 47]"
195,"[62, 52, 62]"
196,"[12, 5, 58]"
197,"[62, 63, 50]"
198,"[16, 17, 1]"
199,"[5, 26, 63]"
200,"[41, 3, 60]"
201,"[1, 2, 24]"
202,"[10, 12, 34]"
203,"[62, 1, 16]"
204,"[62, 16, 42]"
205,"[41, 23, 8]"
206,"[60, 17, 29]"
207,"[26, 20, 51]"
208,"[62, 59, 56]"
209,"[38, 48, 39]"
210,"[52, 9, 34]"
211,"[19, 7, 49]"
212,"[28, 25, 46]"
213,"[52, 22, 45]"
214,"[52, 15, 54]"
215,"[62, 43, 19]"
216,"[62, 51, 44]"
217,"[62, 51, 15]"
218,"[51, 38, 27]"
219,"[62, 16, 15]"
220,"[62, 62, 23]"
221,"[62, 33, 40]"
222,"[62, 0, 44]"
223,"[62, 33, 40]"
224,"[1, 2, 27]"
225,"[51, 37, 39]"
226,"[38, 6, 36]"
227,"[12, 5, 7]"
228,"[19, 10, 58]"
229,"[25, 7, 25]"
230,"[63, 21, 47]"
231,"[63, 47, 57]"
232,"[1, 12, 7]"
233,"[52, 60, 17]"
234,"[62, 34, 62]"
235,"[63, 13, 9]"
236,"[45, 40, 39]"
237,"[1, 58, 16]"
238,"[62, 14, 50]"
239,"[9, 24, 8]"
240,"[62, 42, 13]"
241,"[62, 55, 19]"
242,"[52, 31, 23]"
243,"[0, 49, 53]"
244,"[33, 13, 28]"
245,"[51, 49, 35]"
246,"[1, 18, 50]"
247,"[62, 46, 32]"
248,"[8, 4, 9]"
249,"[52, 11, 6]"
250,"[52, 62, 11]"
251,"[62, 27, 31]"
252,"[62, 34, 46]"
253,"[62, 36, 41]"
254,"[62, 20, 10]"
255,"[52, 45, 18]"
256,"[62, 63, 57]"
257,"[38, 6, 47]"
258,"[9, 15, 57]"
259,"[5, 39, 41]"
260,"[5, 39, 12]"
261,"[16, 61, 28]"
262,"[0, 10, 6]"
263,"[58, 41, 3]"
264,"[22, 50, 28]"
265,"[19, 59, 50]"
266,"[22, 21, 58]"
267,"[58, 55, 3]"
268,"[61, 54, 49]"
269,"[52, 10, 34]"
270,"[62, 16, 19]"
271,"[52, 4, 39]"
272,"[62, 29, 57]"
273,"[1, 54, 11]"
274,"[62, 60, 3]"
275,"[62, 0, 7]"
276,"[38, 2, 53]"
277,"[61, 48, 53]"
278,"[52, 44, 47]"
279,"[2, 38, 63]"
280,"[0, 10, 6]"
281,"[21, 54, 36]"
282,"[62, 18, 50]"
283,"[1, 19, 21]"
284,"[62, 2, 15]"
285,"[62, 44, 13]"
286,"[62, 17, 38]"
287,"[62, 45, 42]"
288,"[21, 48, 53]"
289,"[12, 37, 40]"
290,"[22, 45, 33]"
291,"[62, 34, 62]"
292,"[62, 30, 46]"
293,"[62, 5, 21]"
294,"[51, 40, 4]"
295,"[52, 31, 17]"
296,"[51, 40, 4]"
297,"[51, 24, 56]"
298,"[52, 47, 5]"
299,"[51, 25, 48]"
300,"[51, 25, 1]"
301,"[52, 47, 32]"
302,"[60, 33, 29]"
303,"[52, 13, 39]"
304,"[62, 43, 56]"
305,"[9, 7, 25]"
306,"[62, 60, 11]"
307,"[1, 30, 11]"
308,"[45, 15, 24]"
309,"[12, 5, 51]"
310,"[36, 3, 62]"
311,"[62, 1, 37]"
312,"[52, 28, 13]"
313,"[17, 20, 16]"
314,"[62, 27, 12]"
315,"[9, 9, 58]"
316,"[19, 21, 2]"
317,"[19, 11, 20]"
318,"[7, 24, 23]"
319,"[40, 6, 52]"
320,"[22, 45, 51]"
321,"[52, 11, 47]"
322,"[5, 26, 63]"
323,"[52, 31, 48]"
324,"[60, 41, 49]"
325,"[58, 63, 40]"
326,"[62, 35, 31]"
327,"[62, 57, 59]"
328,"[62, 51, 44]"
329,"[9, 9, 51]"
330,"[52, 8, 10]"
331,"[52, 36, 10]"
332,"[32, 1, 45]"
333,"[9, 4, 54]"
334,"[22, 27, 30]"
335,"[62, 7, 60]"
336,"[62, 3, 60]"
337,"[41, 3, 35]"
338,"[52, 37, 17]"
339,"[62, 36, 25]"
340,"[24, 22, 55]"
341,"[62, 59, 2]"
342,"[1, 12, 7]"
343,"[62, 17, 38]"
344,"[3, 42, 43]"
345,"[19, 49, 30]"
346,"[62, 52, 34]"
347,"[17, 52, 52]"
348,"[52, 13, 39]"
349,"[62, 51, 63]"
350,"[52, 22, 23]"
351,"[59, 56, 1]"
352,"[1, 19, 41]"
353,"[62, 38, 14]"
354,"[52, 46, 35]"
355,"[62, 16, 34]"
356,"[49, 8, 43]"
357,"[12, 20, 27]"
358,"[52, 26, 31]"
359,"[62, 0, 22]"
360,"[25, 18, 0]"
361,"[52, 32, 61]"
362,"[33, 53, 5]"
363,"[1, 12, 16]"
364,"[62, 49, 22]"
365,"[49, 23, 59]"
366,"[62, 5, 8]"
367,"[63, 14, 18]"
368,"[52, 35, 61]"
369,"[52, 36, 25]"
370,"[39, 28, 26]"
371,"[1, 58, 37]"
372,"[62, 57, 32]"
373,"[49, 23, 26]"
374,"[28, 29, 29]"
375,"[62, 62, 0]"
376,"[62, 62, 27]"
377,"[60, 33, 12]"
378,"[8, 55, 9]"
379,"[7, 38, 42]"
380,"[28, 30, 46]"
381,"[62, 42, 24]"
382,"[9, 21, 9]"
383,"[52, 46, 8]"
384,"[52, 22, 51]"
385,"[62, 14, 41]"
386,"[41, 27, 30]"
387,"[19, 10, 50]"
388,"[16, 7, 1]"
389,"[63, 21, 59]"
390,"[62, 42, 57]"
391,"[62, 29, 32]"
392,"[1, 16, 19]"
393,"[21, 10, 39]"
394,"[9, 25, 9]"
395,"[52, 30, 31]"
396,"[62, 36, 25]"
397,"[52, 47, 41]"
398,"[53, 13, 29]"
399,"[31, 11, 38]"
400,"[1, 56, 33]"
401,"[52, 9, 46]"
402,"[1, 19, 21]"
403,"[31, 3, 58]"
404,"[26, 25, 35]"
405,"[62, 9, 13]"
406,"[17, 17, 39]"
407,"[1, 18, 21]"
408,"[63, 47, 4]"
409,"[2, 50, 18]"
410,"[22, 31, 28]"
411,"[23, 23, 38]"
412,"[0, 10, 6]"
413,"[22, 45, 8]"
414,"[62, 43, 39]"
415,"[62, 14, 41]"
416,"[9, 24, 48]"
417,"[5, 26, 20]"
418,"[23, 4, 55]"
419,"[9, 45, 12]"
420,"[35, 63, 20]"
421,"[62, 20, 27]"
422,"[5, 28, 23]"
423,"[52, 15, 52]"
424,"[35, 53, 5]"
425,"[10, 38, 48]"
426,"[58, 16, 45]"
427,"[62, 7, 60]"
428,"[60, 57, 10]"
429,"[62, 0, 7]"
430,"[0, 10, 6]"
431,"[5, 27, 40]"
432,"[1, 35, 15]"
433,"[62, 1, 37]"
434,"[27, 38, 59]"
435,"[7, 30, 46]"
436,"[62, 1, 7]"
437,"[52, 32, 61]"
438,"[12, 55, 3]"
439,"[1, 60, 2]"
440,"[12, 42, 42]"
441,"[5, 26, 63]"
442,"[62, 63, 15]"
443,"[46, 6, 52]"
444,"[22, 8, 53]"
445,"[33, 39, 50]"
446,"[62, 55, 62]"
447,"[8, 20, 51]"
448,"[62, 51, 22]"
449,"[62, 12, 8]"
450,"[33, 17, 28]"
451,"[46, 54, 51]"
452,"[5, 52, 10]"
453,"[52, 46, 18]"
454,"[8, 35, 26]"
455,"[8, 36, 26]"
456,"[62, 52, 34]"
457,"[27, 48, 59]"
458,"[62, 43, 24]"
459,"[46, 54, 9]"
460,"[12, 23, 16]"
461,"[52, 14, 31]"
462,"[22, 61, 44]"
463,"[5, 39, 12]"
464,"[5, 40, 40]"
465,"[1, 49, 33]"
466,"[1, 0, 23]"
467,"[41, 41, 55]"
468,"[22, 8, 43]"
469,"[62, 51, 44]"
470,"[38, 6, 47]"
471,"[52, 31, 1]"
472,"[1, 58, 32]"
473,"[4, 13, 30]"
474,"[62, 51, 63]"
475,"[62, 49, 37]"
476,"[49, 19, 42]"
477,"[60, 33, 27]"
478,"[26, 56, 11]"
479,"[26, 52, 36]"
480,"[26, 40, 11]"
481,"[26, 22, 36]"
482,"[9, 24, 47]"
483,"[52, 62, 0]"
484,"[52, 37, 17]"
485,"[61, 61, 19]"
486,"[8, 59, 17]"
487,"[29, 50, 49]"
488,"[62, 19, 45]"
489,"[62, 34, 22]"
490,"[1, 2, 14]"
491,"[9, 37, 39]"
492,"[33, 53, 5]"
493,"[62, 36, 25]"
494,"[62, 5, 14]"
495,"[62, 29, 56]"
496,"[62, 29, 56]"
497,"[29, 48, 49]"
498,"[9, 21, 54]"
499,"[4, 15, 54]"
500,"[9, 24, 34]"
501,"[62, 57, 57]"
502,"[62, 44, 62]"
503,"[62, 32, 34]"
504,"[12, 59, 3]"
505,"[62, 30, 50]"
506,"[1, 2, 58]"
507,"[13, 11, 29]"
508,"[62, 58, 14]"
509,"[22, 18, 30]"
510,"[60, 60, 2]"
511,"[7, 33, 4]"
512,"[51, 40, 5]"
513,"[16, 43, 27]"
514,"[7, 37, 45]"
515,"[52, 13, 15]"
516,"[62, 9, 46]"
517,"[25, 48, 25]"
518,"[5, 26, 40]"
519,"[60, 60, 23]"
520,"[62, 62, 37]"
521,"[62, 58, 60]"
522,"[62, 20, 35]"
523,"[62, 20, 63]"
524,"[51, 53, 43]"
525,"[52, 46, 36]"
526,"[62, 52, 45]"
527,"[52, 31, 36]"
528,"[62, 42, 15]"
529,"[26, 59, 51]"
530,"[52, 46, 25]"
531,"[62, 18, 22]"
532,"[63, 47, 12]"
533,"[63, 24, 47]"
534,"[27, 44, 22]"
535,"[22, 3, 23]"
536,"[12, 5, 38]"
537,"[19, 9, 57]"
538,"[62, 51, 44]"
539,"[58, 55, 18]"
540,"[62, 36, 14]"
541,"[62, 0, 42]"
542,"[62, 34, 62]"
543,"[62, 30, 13]"
544,"[16, 48, 57]"
545,"[62, 7, 60]"
546,"[63, 8, 12]"
547,"[63, 21, 9]"
548,"[17, 52, 32]"
549,"[62, 16, 33]"
550,"[62, 35, 10]"
551,"[1, 2, 6]"
552,"[58, 2, 43]"
553,"[33, 25, 47]"
554,"[33, 28, 5]"
555,"[1, 28, 3]"
556,"[61, 3, 19]"
557,"[5, 26, 49]"
558,"[4, 61, 48]"
559,"[62, 63, 42]"
560,"[62, 23, 31]"
561,"[62, 29, 37]"
562,"[59, 56, 1]"
563,"[62, 20, 25]"
564,"[62, 42, 2]"
565,"[45, 60, 31]"
566,"[62, 42, 2]"
567,"[16, 59, 28]"
568,"[22, 27, 30]"
569,"[62, 34, 21]"
570,"[62, 7, 22]"
571,"[1, 6, 13]"
572,"[62, 33, 62]"
573,"[51, 53, 56]"
574,"[62, 57, 34]"
575,"[3, 8, 38]"
576,"[52, 15, 52]"
577,"[24, 22, 55]"
578,"[5, 39, 48]"
579,"[42, 10, 53]"
580,"[1, 15, 52]"
581,"[4, 27, 40]"
582,"[16, 10, 55]"
583,"[10, 49, 49]"
584,"[10, 38, 34]"
585,"[10, 41, 9]"
586,"[58, 55, 18]"
587,"[16, 56, 26]"
588,"[7, 54, 59]"
589,"[12, 14, 27]"
590,"[14, 26, 29]"
591,"[62, 49, 0]"
592,"[42, 31, 11]"
593,"[35, 1, 58]"
594,"[15, 61, 4]"
595,"[22, 21, 30]"
596,"[1, 38, 16]"
597,"[48, 39, 58]"
598,"[35, 55, 24]"
599,"[62, 0, 42]"
600,"[42, 4, 16]"
601,"[62, 36, 14]"
602,"[52, 30, 62]"
603,"[8, 24, 51]"
604,"[1, 16, 6]"
605,"[8, 4, 26]"
606,"[62, 18, 50]"
607,"[5, 19, 29]"
608,"[22, 11, 6]"
609,"[52, 32, 41]"
610,"[42, 47, 11]"
611,"[58, 6, 52]"
612,"[32, 1, 1]"
613,"[62, 33, 15]"
614,"[52, 13, 46]"
615,"[52, 22, 39]"
616,"[62, 63, 44]"
617,"[52, 45, 8]"
618,"[42, 10, 53]"
619,"[42, 41, 54]"
620,"[62, 36, 7]"
621,"[42, 19, 4]"
622,"[42, 9, 61]"
623,"[48, 35, 61]"
624,"[1, 58, 60]"
625,"[52, 13, 17]"
626,"[41, 14, 41]"
627,"[42, 50, 17]"
628,"[15, 43, 20]"
629,"[41, 45, 8]"
630,"[53, 49, 50]"
631,"[29, 29, 44]"
632,"[57, 37, 39]"
633,"[51, 53, 5]"
634,"[49, 25, 59]"
635,"[62, 57, 14]"
636,"[42, 12, 55]"
637,"[62, 62, 32]"
638,"[42, 17, 28]"
639,"[42, 50, 54]"
640,"[53, 13, 19]"
641,"[53, 52, 29]"
642,"[63, 27, 30]"
643,"[24, 12, 25]"
644,"[17, 17, 1]"
645,"[26, 60, 11]"
646,"[32, 1, 56]"
647,"[19, 10, 34]"
648,"[19, 10, 50]"
649,"[9, 45, 9]"
650,"[1, 29, 16]"
651,"[52, 13, 54]"
652,"[52, 4, 6]"
653,"[17, 51, 10]"
654,"[31, 37, 58]"
655,"[31, 3, 39]"
656,"[17, 17, 48]"
657,"[31, 14, 58]"
658,"[31, 3, 32]"
659,"[52, 22, 12]"
660,"[27, 44, 6]"
661,"[62, 63, 44]"
662,"[52, 15, 54]"
663,"[62, 48, 23]"
664,"[62, 58, 28]"
665,"[5, 60, 3]"
666,"[62, 43, 37]"
667,"[49, 26, 42]"
668,"[62, 63, 8]"
669,"[62, 57, 8]"
670,"[0, 62, 45]"
671,"[49, 28, 52]"
672,"[49, 11, 60]"
673,"[52, 15, 54]"
674,"[62, 62, 30]"
675,"[38, 57, 38]"
676,"[1, 18, 21]"
677,"[5, 39, 9]"
678,"[62, 58, 60]"
679,"[21, 10, 53]"
680,"[26, 59, 59]"
681,"[7, 4, 49]"
682,"[49, 52, 2]"
683,"[62, 36, 7]"
684,"[23, 41, 55]"
685,"[16, 29, 29]"
686,"[52, 32, 61]"
687,"[33, 21, 47]"
688,"[9, 56, 31]"
689,"[7, 30, 46]"
690,"[10, 49, 36]"
691,"[9, 8, 37]"
692,"[62, 33, 19]"
693,"[0, 49, 45]"
694,"[62, 44, 19]"
695,"[62, 58, 28]"
696,"[62, 43, 56]"
697,"[49, 6, 42]"
698,"[7, 56, 20]"
699,"[27, 24, 57]"
700,"[22, 41, 47]"
701,"[13, 38, 26]"
702,"[49, 40, 40]"
703,"[62, 27, 31]"
704,"[62, 0, 13]"
705,"[52, 40, 17]"
706,"[9, 37, 35]"
707,"[52, 30, 13]"
708,"[62, 51, 44]"
709,"[38, 48, 53]"
710,"[62, 38, 32]"
711,"[8, 39, 12]"
712,"[52, 16, 31]"
713,"[62, 63, 22]"
714,"[20, 31, 2]"
715,"[27, 24, 22]"
716,"[1, 2, 46]"
717,"[9, 45, 40]"
718,"[7, 33, 4]"
719,"[62, 36, 25]"
720,"[4, 47, 10]"
721,"[8, 9, 55]"
722,"[42, 23, 33]"
723,"[1, 55, 56]"
724,"[4, 61, 35]"
725,"[42, 23, 33]"
726,"[40, 6, 52]"
727,"[1, 5, 21]"
728,"[1, 2, 4]"
729,"[52, 8, 43]"
730,"[62, 19, 41]"
731,"[62, 20, 11]"
732,"[52, 35, 61]"
733,"[22, 19, 41]"
734,"[62, 20, 63]"
735,"[33, 53, 39]"
736,"[62, 20, 63]"
737,"[48, 7, 27]"
738,"[4, 50, 24]"
739,"[0, 10, 62]"
740,"[4, 61, 24]"
741,"[4, 54, 26]"
742,"[4, 54, 26]"
743,"[1, 42, 16]"
744,"[52, 47, 5]"
745,"[19, 11, 20]"
746,"[62, 9, 10]"
747,"[62, 42, 23]"
748,"[27, 50, 12]"
749,"[7, 41, 45]"
750,"[1, 22, 57]"
751,"[62, 5, 14]"
752,"[13, 21, 23]"
753,"[42, 23, 33]"
754,"[42, 25, 15]"
755,"[38, 7, 62]"
756,"[63, 32, 5]"
757,"[22, 18, 63]"
758,"[62, 34, 0]"
759,"[40, 16, 48]"
760,"[58, 55, 18]"
761,"[52, 46, 47]"
762,"[5, 26, 49]"
763,"[26, 59, 59]"
764,"[62, 36, 7]"
765,"[52, 28, 36]"
766,"[32, 1, 27]"
767,"[33, 53, 51]"
768,"[16, 22, 44]"
769,"[12, 5, 21]"
770,"[62, 59, 16]"
771,"[62, 10, 43]"
772,"[36, 42, 16]"
773,"[62, 35, 33]"
774,"[3, 42, 3]"
775,"[52, 32, 39]"
776,"[62, 33, 13]"
777,"[8, 31, 11]"
778,"[1, 55, 56]"
779,"[48, 60, 2]"
780,"[22, 19, 6]"
781,"[52, 11, 61]"
782,"[62, 2, 22]"
783,"[19, 15, 20]"
784,"[17, 19, 17]"
785,"[1, 10, 56]"
786,"[62, 27, 47]"
787,"[33, 13, 38]"
788,"[62, 27, 40]"
789,"[10, 27, 31]"
790,"[61, 40, 19]"
791,"[13, 38, 4]"
792,"[51, 53, 47]"
793,"[9, 13, 9]"
794,"[51, 53, 5]"
795,"[12, 38, 49]"
796,"[27, 4, 39]"
797,"[33, 40, 5]"
798,"[62, 49, 0]"
799,"[0, 8, 53]"
800,"[9, 24, 45]"
801,"[42, 23, 63]"
802,"[62, 20, 1]"
803,"[62, 30, 51]"
804,"[52, 9, 13]"
805,"[1, 18, 50]"
806,"[1, 12, 7]"
807,"[52, 9, 34]"
808,"[26, 3, 50]"
809,"[62, 36, 15]"
810,"[60, 41, 48]"
811,"[62, 52, 46]"
812,"[52, 46, 32]"
813,"[22, 50, 28]"
814,"[38, 6, 36]"
815,"[61, 2, 22]"
816,"[40, 6, 30]"
817,"[62, 7, 60]"
818,"[62, 1, 37]"
819,"[62, 43, 24]"
820,"[62, 62, 10]"
821,"[40, 4, 52]"
822,"[49, 23, 59]"
823,"[62, 47, 57]"
824,"[62, 29, 15]"
825,"[9, 45, 35]"
826,"[27, 48, 18]"
827,"[49, 23, 38]"
828,"[60, 60, 2]"
829,"[49, 28, 58]"
830,"[52, 31, 36]"
831,"[46, 54, 6]"
832,"[62, 1, 37]"
833,"[62, 20, 21]"
834,"[4, 61, 26]"
835,"[62, 62, 0]"
836,"[19, 48, 13]"
837,"[19, 44, 49]"
838,"[12, 37, 3]"
839,"[62, 51, 44]"
840,"[26, 25, 28]"
841,"[5, 26, 17]"
842,"[1, 58, 33]"
843,"[62, 63, 44]"
844,"[17, 14, 26]"
845,"[62, 0, 33]"
846,"[9, 45, 40]"
847,"[62, 36, 15]"
848,"[19, 21, 27]"
849,"[62, 57, 10]"
850,"[19, 16, 53]"
851,"[58, 55, 4]"
852,"[9, 18, 63]"
853,"[42, 17, 54]"
854,"[21, 10, 48]"
855,"[51, 63, 1]"
856,"[49, 54, 55]"
857,"[26, 59, 59]"
858,"[42, 56, 31]"
859,"[61, 38, 60]"
860,"[41, 41, 8]"
861,"[12, 17, 57]"
862,"[62, 0, 7]"
863,"[52, 47, 41]"
864,"[19, 35, 29]"
865,"[22, 50, 61]"
866,"[59, 32, 52]"
867,"[62, 34, 62]"
868,"[9, 7, 54]"
869,"[52, 46, 18]"
870,"[17, 33, 23]"
871,"[62, 28, 3]"
872,"[62, 37, 9]"
873,"[12, 5, 55]"
874,"[52, 49, 35]"
875,"[62, 61, 46]"
876,"[61, 39, 19]"
877,"[5, 39, 12]"
878,"[26, 3, 28]"
879,"[8, 24, 10]"
880,"[22, 21, 4]"
881,"[62, 52, 34]"
882,"[62, 8, 43]"
883,"[10, 29, 49]"
884,"[36, 15, 12]"
885,"[62, 0, 8]"
886,"[62, 14, 32]"
887,"[62, 2, 23]"
888,"[62, 28, 11]"
889,"[62, 58, 62]"
890,"[25, 26, 25]"
891,"[22, 50, 30]"
892,"[28, 30, 46]"
893,"[62, 20, 27]"
894,"[62, 20, 42]"
895,"[62, 56, 14]"
896,"[62, 49, 37]"
897,"[9, 13, 54]"
